UrbanRural,TotalIncomeLastYear,Race,TotalExpLastQ
1,134000,1,15422.4999
1,158875,1,29583.05
1,143476,1,14068.75
2,30000,1,7725.8333
1,73200,5,13006.8001
1,18936,1,1359.9333
1,34000,1,9145.9001
1,25680,1,2789.5667
1,17001,1,8369.4999
1,44025,1,5234.6667
1,107928,1,11280.9333
1,36771,1,4345.6667
1,34000,1,6396.6499
1,51396,1,9966.3999
1,43000,1,5726.8956
1,3936,1,4171.1001
1,233020,1,5749.3334
1,67000,1,8068.8334
1,100000,1,15837.5
1,93027,1,20975.8367
1,5616,1,10111.8
1,33000,1,10965.2501
1,11848,1,15151.2501
1,122000,1,15944.5
1,12600,1,9986.5333
1,18000,1,5249.0333
1,132000,1,8883.6667
2,12408,1,1577.3333
1,47000,1,8081.5
1,125000,1,4730.0833
1,97800,1,15603.4001
1,84373,1,4182.9667
1,79000,1,13915.9499
1,435944,1,9908.9789
1,14500,1,2706.2502
1,84000,1,7596.3333
1,14016,1,862.6667
1,7740,1,17907.9333
1,349386,4,47182.2501
1,134808,1,10378.4667
1,1600,2,429.5833
1,171700,1,5858.6667
1,43000,5,7301.4333
1,62000,1,4487.6667
1,45000,2,7187.7501
1,66000,1,8511.5333
1,38532,6,1564.25
1,86676,1,21804.65
1,112000,2,3898.5
1,41100,1,4696.3333
1,125988,1,3243.1333
1,131288,2,5905.05
1,23209,1,5264.4667
1,40000,6,8389.5
1,8600,1,1349.75
1,650,1,3965.2667
1,118000,1,19055.1
1,170000,1,17825.4999
1,9972,2,2287.3333
1,150000,1,35074.7245
1,23400,1,2185.3333
1,10496,1,1639.7667
1,39000,2,6088.3334
2,30516,1,13531.5333
1,99276,1,10229.4
2,18000,1,2717.6833
1,12164,2,4740.4
1,18400,1,4526.6667
1,37000,1,4835.6667
1,24140,1,3573.6667
1,143000,1,4214.3334
1,33666,1,1478.9166
1,115000,1,8096.6667
1,84008,1,30196.9333
1,60500,1,7477.6667
1,114857,1,9698.9333
1,15297,1,4766.6
1,138385,1,4814.6667
1,208000,1,10512.4168
1,144000,1,15492
1,3216,1,5376.5999
1,7085,1,3460.9167
1,13182,2,2734.6999
1,44000,1,6807.6667
2,3456,1,1655.9667
1,3917,2,3453.8
1,95000,4,10019.5
1,58728,1,8567.2334
1,132433,1,16065.6667
1,39800,1,12104.2501
1,120000,1,30449.6733
1,16312,1,2646.9333
1,30000,1,11374.5
1,199000,1,57454.3368
2,118500,1,4842.5167
1,27000,1,3855.7666
1,82000,1,5157.2999
1,21036,2,2811.5166
1,20000,4,1525
1,80000,1,4673.8333
1,98608,1,16177.7499
1,5121,1,1567.5834
1,2000,1,3719.4
1,110708,1,4258.2667
1,107512,1,16085.75
1,16800,1,5730.1499
1,45000,1,2138.5834
1,90108,1,41496.5101
1,198750,1,29751.2501
2,99000,1,3459.8667
1,14729,1,2840.6
1,40102,2,3713.1834
1,9050,1,11758.2502
1,24000,2,1926.8333
1,16000,1,3667.2333
1,1608,1,9932.3
1,30000,1,5344.25
1,378786,1,19569.8334
1,129786,1,15272.2502
1,28000,1,8509.1666
1,56800,2,3918.5
1,127780,1,14991.3333
1,53200,2,3032.1667
1,17668,1,5527.4333
1,9600,5,2099.5001
1,18754,1,1832.15
1,230000,1,27951.2499
1,50000,4,8215.5
1,264386,1,4552.1167
1,41666,1,6505.0999
1,264386,2,7522.2245
1,50002,1,4293.4167
2,35000,1,2223.5
1,2150,1,22034.2
1,75000,1,6393.6667
1,73500,1,13326.5833
1,94200,1,4613.8333
1,29651,1,12565.5333
1,45000,1,3290.5834
1,114024,1,13658.9999
1,2453,1,6088
1,79608,1,5433.4
1,38038,1,7026.9
1,75000,4,16569.5666
1,17163,1,2573.3333
1,16008,2,2122.3333
1,44000,1,6450.7167
1,75000,1,4925.45
1,143645,2,27322.7501
1,76000,1,2103.2499
2,19608,1,1004.6333
1,75000,2,8576.3334
1,17359,2,3977.9333
1,75000,1,4320.5001
1,83200,2,3725.5
1,30171,1,13809.8
1,142000,1,4278.25
2,24000,1,3439.5834
1,26844,1,7262.9001
1,151608,1,20440.7001
1,115000,1,13704.2501
1,2000,1,110.3334
1,48606,1,23441.4334
2,14142,1,11740.1821
2,60828,1,3421.8667
1,154000,1,15678.8667
1,48000,4,5950.6667
1,21480,1,6637.3666
1,100000,1,9669.4666
1,145000,1,6055.6955
1,15900,1,4976.2501
1,1608,6,3730.25
1,63000,1,8004
1,19091,1,4856.4
1,24000,6,6065.8001
1,161740,1,6022.6667
1,633840,1,5566.0456
1,25680,1,6332.8667
1,20736,1,6639.7499
1,21865,1,6563.6667
1,34151,1,2025.4167
2,74864,1,7698.0334
1,97761,1,15726.25
1,1608,1,4346.4
1,26292,1,7172.9
1,3699,2,1049
1,21108,1,1884.4667
1,3216,1,10373.2667
1,88150,1,6688.3333
1,48000,1,14603.7501
1,70682,1,18106.75
1,53000,1,6533.8334
2,36492,1,7995.5333
1,24000,1,5290.1
1,56400,1,12319.7499
1,23564,1,16159.8
1,13304,1,2899.3334
1,11049,1,5811.6
1,9405,1,708
1,43800,1,7816.8333
1,80000,4,6653.4167
1,100000,1,15223
1,9150,2,2184.5
1,152000,1,6450.0833
1,98299,1,9447.4333
1,45000,1,8687.7501
1,12000,2,2619.0001
1,74000,1,10169.2
1,21988,4,2551.75
1,16671,2,911.4667
1,326811,1,24365.8368
1,140000,1,19693.6665
1,41520,2,4843
1,60000,4,11443.5
1,15000,1,2057.3334
1,75000,1,22263.5001
1,450,6,11577
1,7700,2,4703.8334
1,104000,1,11564.6667
1,2888,1,3434
1,80000,2,2161.0667
2,1093,1,823.1333
1,23804,1,1690.2167
1,46556,1,8826.0332
1,65000,4,10377.2501
1,17220,1,12212.8
1,125000,2,11875.9333
1,44594,1,7918.5333
1,431664,1,43487.7789
2,91000,1,11758.3998
1,31408,1,1814.7834
1,12000,2,3900.4334
1,90000,1,5260.5834
1,11306,2,6381.5001
1,114000,1,31336.7001
1,40791,1,6482.6
2,42672,1,2954.6001
1,35000,1,7633.0001
1,101241,1,10650.1667
1,41192,1,7875.1999
1,14256,2,4389
1,160200,1,16675.5579
1,35000,2,6791.45
1,23928,1,1810.8
1,296843,1,15168.5579
1,19608,2,588.4667
1,70000,1,10410.25
2,35348,1,7833.7501
1,32856,1,3375.5333
2,10536,3,1655
1,2350,1,1253.7667
1,75010,1,4544.6667
2,129080,1,13794.1667
1,16824,1,1968.85
1,16656,1,3882
1,8676,1,948.3333
1,38000,1,24901.5
1,18580,1,1976.4
1,75000,1,10254.7001
1,190000,2,4998.9167
1,17000,2,7353.9
1,22600,1,8613.9333
1,2500,1,1856.8335
1,194140,1,12798.9501
1,83000,1,7611.5001
1,79000,1,3046.2333
1,19200,1,6467.6
1,50000,1,4419.8333
1,70000,1,9788.2499
1,15247,1,4108.4667
1,11676,1,2251.4
1,19608,2,2525.4
1,48568,1,4249.1833
1,8880,1,612
1,38532,1,10987.8667
1,79000,1,8790.6667
1,228000,2,6511.4167
1,40000,1,4695.4666
1,34000,1,3365.5
1,92000,4,21641.1667
1,85000,4,9755.8667
1,81000,1,25744.0833
1,73600,1,8490.3333
1,47348,1,47139.4
1,159000,1,12878.3334
1,15000,1,3325
1,79508,4,7752.6333
1,200000,1,8287.0001
1,1500,1,2061.5
1,72500,1,11044.2501
1,82500,1,11473.0001
1,22584,1,6139.4
1,37653,1,18402.8
1,35400,1,1915.8333
1,9500,3,1910.1667
1,152916,1,15487.2001
1,130000,1,15983.75
1,13904,1,2129.4001
1,53000,1,3219.5001
2,1608,1,6877.4
1,85000,1,6985.1667
1,12456,2,8250.15
1,119453,1,7860
1,49200,2,6860.4999
1,39704,1,7171.4667
1,43000,1,9055.2001
1,60000,2,2171.5
1,15353,1,2929
1,41808,1,3751.05
1,205000,1,29883.7499
1,24000,2,1249.3333
1,35000,1,8965.5001
1,53600,1,5337.1001
1,65500,1,2826.25
1,13180,1,3261.9
1,82440,3,11435.1667
1,200000,1,10886.8334
1,50456,1,4540.2667
1,64924,1,26138.1
1,182000,1,14327.6666
1,107764,1,12063.2
1,17631,1,2329.1333
1,17508,1,16547.8
1,80000,1,13426
1,15935,6,4762
1,39716,1,9742.8
1,75000,1,16113.3998
1,95400,1,15418.3335
1,13500,1,2406.5
1,13380,1,654.1667
1,109000,1,9529.1667
1,45500,1,7721.85
1,22344,1,9744.8
1,65350,2,3989.4167
1,40364,1,3907.3
1,354386,1,14811.2245
1,20000,1,4610.6667
1,11500,1,4607.3334
1,3432,1,7784.6
1,22076,1,13839.0001
1,60000,1,6557.6667
1,175000,4,19711.7
1,15000,2,1806.6667
